State                Recv-Q               Send-Q                             Local Address:Port                             Peer Address:Port
LISTEN               0                    4096                                   127.0.0.1:2019                                  0.0.0.0:*
LISTEN               0                    4096                                     0.0.0.0:8443                                  0.0.0.0:*
LISTEN               0                    4096                                     0.0.0.0:443                                   0.0.0.0:*
LISTEN               0                    4096                                   127.0.0.1:8434                                  0.0.0.0:*
LISTEN               0                    4096                                 127.0.0.127:1270                                  0.0.0.0:*
LISTEN               0                    4096                                     0.0.0.0:8000                                  0.0.0.0:*
LISTEN               0                    4096                                           *:80                                          *:*
LISTEN               0                    4096                                        [::]:8443                                     [::]:*
LISTEN               0                    4096                                        [::]:443                                      [::]:*
LISTEN               0                    4096                                        [::]:8000                                     [::]:*
